k id,k x,k y,k z,k accel,k steer,k steer angle,k speed,k max speed,k boost,k brake,k nitro,b x,b y,b z,b not moving,closest k x,closest k y,closest k z,blue t goal,red t goal,ball aim x,ball aim y,ball aim z
1.000000,-21.079393,0.272810,2.324177,1.000000,-0.015717,0.109115,11.405740,14.250001,0.000000,0.000000,0.000000,-30.453159,0.369812,12.274879,0.000000,-26.401815,0.277296,2.818143,0.000000,0.000000,-31.039383,0.369812,13.752795
0.000000,-26.401815,0.277296,2.818143,1.000000,0.819666,0.123001,9.713973,14.250001,1.000000,0.000000,0.000000,-30.453159,0.369812,12.274879,0.000000,-20.984703,0.272862,2.322681,0.000000,0.000000,-31.253565,0.369812,10.901110
1.000000,-15.707523,0.276150,2.150725,1.000000,-0.046571,0.113961,10.132957,14.250001,0.000000,0.000000,0.000000,-28.681595,0.369812,11.152325,0.000000,-22.099514,0.280317,2.037933,0.000000,0.000000,-29.245230,0.369812,12.639002
0.000000,-22.099514,0.280317,2.037933,1.000000,-0.132481,0.177004,7.903854,14.250001,1.000000,0.000000,0.000000,-28.681595,0.369812,11.152325,0.000000,-15.623589,0.276219,2.145538,0.000000,0.000000,-29.433977,0.369812,9.751677
1.000000,-11.125114,0.281002,1.690068,1.000000,-0.248756,0.165450,8.291124,14.250001,0.000000,0.000000,0.000000,-26.380167,0.369812,9.721688,0.000000,-17.583778,0.277183,1.340562,0.000000,0.000000,-26.912636,0.369812,11.219810
0.000000,-17.583778,0.277183,1.340562,1.000000,-0.513443,0.121483,9.764831,14.250001,1.000000,0.000000,0.000000,-26.380167,0.369812,9.721688,0.000000,-11.057427,0.281087,1.678391,0.000000,0.000000,-27.069490,0.369812,8.288954
1.000000,-7.596855,0.286842,0.904519,1.000000,-0.058473,0.230223,6.120051,14.250001,0.000000,0.000000,0.000000,-23.548323,0.369812,7.983933,0.000000,-13.462279,0.282103,-0.200671,0.000000,0.000000,-24.039581,0.369812,9.496071
0.000000,-13.462279,0.282103,-0.200671,1.000000,0.053316,0.178219,7.863130,14.250001,1.000000,0.000000,0.000000,-23.548323,0.369812,7.983933,0.000000,-7.547840,0.286967,0.892372,0.000000,0.000000,-24.159283,0.369812,6.516070
1.000000,-5.390147,0.295189,0.310711,1.000000,-0.077731,0.324815,2.949468,14.250001,0.000000,0.000000,0.000000,-20.186617,0.369812,5.938083,0.000000,-9.901877,0.284987,-0.781561,0.000000,0.000000,-20.624638,0.369812,7.466491
0.000000,-9.901877,0.284987,-0.781561,1.000000,-1.000000,0.211774,6.738441,14.250001,1.000000,0.000000,0.000000,-20.186617,0.369812,5.938083,0.000000,-5.367144,0.295343,0.303912,0.000000,0.000000,-20.704184,0.369812,4.434748
1.000000,-5.705605,0.282466,0.076940,0.000000,-1.000000,0.412811,-7.459673,14.250001,0.000000,1.000000,0.000000,-16.296440,0.369812,3.581788,0.000000,-7.474933,0.292017,-1.902456,0.000000,0.000000,-16.666561,0.369812,5.128043
0.000000,-7.474933,0.292017,-1.902456,1.000000,-0.474960,0.290337,4.105127,14.250001,1.000000,0.000000,0.000000,-16.296440,0.369812,3.581788,0.000000,-5.763698,0.282496,0.054222,0.000000,0.000000,-16.706732,0.369812,2.045704
1.000000,-7.452583,0.295407,-2.069676,0.000000,-1.000000,0.412811,-1.032347,14.250001,0.000000,1.000000,0.000000,-11.879454,0.369811,0.912241,0.000000,-6.354199,0.297166,-2.968784,0.000000,0.000000,-12.163553,0.369811,2.476588
0.000000,-6.354199,0.297166,-2.968784,1.000000,-1.000000,0.352838,2.010185,14.250001,1.000000,0.000000,0.000000,-11.879454,0.369811,0.912241,0.000000,-7.455614,0.295091,-2.075692,0.000000,0.000000,-12.170839,0.369811,-0.650765
